Date,Open,High,Low,Close,Adj Close,Volume
2024-01-30,62.900002,63.493000,62.259998,62.773998,62.765896,410735000
2024-01-31,61.439999,62.269001,60.700001,61.527000,61.519058,453795000
2024-02-01,62.099998,63.191002,61.650002,63.027000,63.018867,369146000
2024-02-02,63.973999,66.599998,63.689999,66.160004,66.151466,476578000
2024-02-05,68.224998,69.497002,67.205002,69.332001,69.323059,680078000
2024-02-06,69.629997,69.753998,66.300003,68.223000,68.214203,683111000
2024-02-07,68.319000,70.220001,67.599998,70.098999,70.089951,495575000
2024-02-08,70.073997,70.793999,69.455002,69.640999,69.632011,414422000
2024-02-09,70.532997,72.184998,70.211998,72.133003,72.123695,436637000
2024-02-12,72.599998,74.611000,71.250000,72.248001,72.238678,613710000
2024-02-13,70.400002,73.449997,69.620003,72.127998,72.118690,602580000
2024-02-14,73.202003,74.236000,71.938004,73.900002,73.890465,504917000
2024-02-15,73.869003,73.974998,72.400002,72.657997,72.648621,420122000
2024-02-16,74.099998,74.402000,72.500999,72.612999,72.603630,495327000
2024-02-20,71.946999,71.956001,67.734001,69.452003,69.443039,704833000
2024-02-21,68.005997,68.888000,66.248001,67.472000,67.463295,690298000
2024-02-22,75.025002,78.574997,74.220001,78.538002,78.527863,865100000
2024-02-23,80.790001,82.393997,77.570000,78.817001,78.806824,829388000
2024-02-26,79.699997,80.646004,78.504997,79.092003,79.081802,503973000
2024-02-27,79.380997,79.480003,77.162003,78.700996,78.690842,391705000
2024-02-28,77.620003,78.932999,77.125000,77.663002,77.652985,393110000
2024-02-29,79.094002,79.989998,78.349998,79.112000,79.101791,507289000
2024-03-01,80.000000,82.300003,79.434998,82.278999,82.268379,479135000
2024-03-04,84.129997,87.695000,83.719002,85.237000,85.225998,615616000
2024-03-05,85.269997,86.097000,83.417000,85.963997,85.956940,520639000
2024-03-06,88.022003,89.723999,87.029999,88.699997,88.692711,582520000
2024-03-07,90.157997,92.766998,89.601997,92.668999,92.661385,608119000
2024-03-08,95.138000,97.400002,86.505997,87.528000,87.520813,1142269000
2024-03-11,86.429001,88.796997,84.166000,85.774002,85.766960,678364000
2024-03-12,88.049004,91.959999,86.150002,91.913002,91.905449,668075000
2024-03-13,91.055000,91.503998,88.434998,90.888000,90.880539,635713000
2024-03-14,89.577003,90.646004,86.599998,87.944000,87.936775,602318000
2024-03-15,86.930000,89.545998,86.257004,87.836998,87.829781,642086000
2024-03-18,90.388000,92.404999,87.084999,88.455002,88.447739,668976000
2024-03-19,86.699997,90.543999,85.010002,89.398003,89.390663,672171000
2024-03-20,89.796997,90.410004,88.223000,90.372002,90.364578,479063000
2024-03-21,92.300003,92.648003,90.404999,91.434998,91.427490,480372000
2024-03-22,91.140999,94.778000,90.834000,94.289001,94.281258,586719000
2024-03-25,93.941002,96.765999,93.510002,95.001999,94.994194,552136000
2024-03-26,95.850998,96.375000,92.501999,92.560997,92.553398,513648000
2024-03-27,93.112000,93.239998,89.123001,90.250000,90.242584,586067000
2024-03-28,90.000000,91.300003,89.193001,90.356003,90.348579,435212000
2024-04-01,90.299004,92.224998,89.204002,90.362999,90.355576,452441000
2024-04-02,88.447998,90.094002,87.620003,89.452003,89.444656,433064000
2024-04-03,88.484001,90.374001,88.400002,88.963997,88.956688,370067000
2024-04-04,90.405998,90.634003,85.879997,85.904999,85.897942,434965000
2024-04-05,86.865997,88.481003,85.926003,88.008003,88.000778,399678000
2024-04-08,88.699997,88.830002,86.732002,87.133003,87.125847,283220000
2024-04-09,87.442001,87.635002,83.022003,85.353996,85.346985,503547000
2024-04-10,83.926003,87.400002,83.709000,87.039001,87.031853,431929000
2024-04-11,87.419998,90.738998,86.926003,90.615997,90.608551,431637000
2024-04-12,89.698997,90.175003,87.529999,88.185997,88.178757,426805000
2024-04-15,89.098000,90.612999,85.929001,86.000999,85.993935,443077000
2024-04-16,86.432999,88.117996,86.064003,87.415001,87.407822,370453000
2024-04-17,88.339996,88.775002,83.949997,84.035004,84.028099,495400000
2024-04-18,84.970001,86.190002,82.402000,84.670998,84.664040,447260000
2024-04-19,83.150002,84.323997,75.606003,76.199997,76.193741,875198000
2024-04-22,78.103996,80.072998,76.400002,79.517998,79.511467,596341000
2024-04-23,80.768997,82.768997,80.264000,82.422997,82.416229,438559000
2024-04-24,83.949997,84.082001,79.182999,79.677002,79.670456,512208000
2024-04-25,78.867996,83.322998,78.223000,82.632004,82.625214,424641000
2024-04-26,83.818001,88.331001,83.387001,87.735001,87.727791,551011000
2024-04-29,87.595001,87.991997,85.265999,87.757004,87.749794,388971000
2024-04-30,87.239998,88.819000,86.300003,86.402000,86.394905,363709000
2024-05-01,85.077003,86.000000,81.254997,83.041000,83.034180,559863000
2024-05-02,84.448997,86.237000,83.199997,85.817001,85.809952,377898000
2024-05-03,87.789001,89.280998,87.040001,88.789001,88.781708,398341000
2024-05-06,89.389999,92.220001,89.055000,92.139999,92.132431,376203000
2024-05-07,91.098000,91.780998,89.011002,90.554001,90.546562,437342000
2024-05-08,89.483002,91.194000,89.419998,90.412003,90.404579,325721000
2024-05-09,90.528999,91.071999,88.231003,88.747002,88.739716,378013000
2024-05-10,90.305000,91.401001,89.226997,89.877998,89.870613,335325000
2024-05-13,90.477997,90.998001,88.528999,90.399002,90.391579,289680000
2024-05-14,89.598999,91.651001,88.933998,91.356003,91.348495,296507000
2024-05-15,92.472000,94.862000,91.598999,94.629997,94.622223,417735000
2024-05-16,94.910004,95.819000,94.102997,94.359001,94.351250,323952000
2024-05-17,94.369003,94.739998,91.806000,92.478996,92.471397,359691000
2024-05-20,93.750000,95.199997,93.440002,94.779999,94.772217,318764000
2024-05-21,93.598999,95.400002,93.180000,95.386002,95.378166,328946000
2024-05-22,95.459000,96.019997,93.249001,94.949997,94.942200,548648000
2024-05-23,102.028000,106.320000,101.519997,103.799004,103.790482,835065000
2024-05-24,104.448997,106.474998,103.000000,106.469002,106.460258,429494000
2024-05-28,110.244003,114.939003,109.883003,113.901001,113.891647,652728000
2024-05-29,113.050003,115.491997,110.901001,114.824997,114.815567,557442000
2024-05-30,114.650002,115.819000,109.663002,110.500000,110.490921,487350000
2024-05-31,112.519997,112.717003,106.940002,109.633003,109.624001,613263000
2024-06-03,113.621002,115.000000,112.002998,115.000000,114.990555,438392000
2024-06-04,115.716003,116.599998,114.044998,116.436996,116.427429,403324000
2024-06-05,118.371002,122.448997,117.468002,122.440002,122.429947,528402000
2024-06-06,124.047997,125.586998,118.320000,120.998001,120.988060,664696000
2024-06-07,119.769997,121.692001,118.022003,120.888000,120.878075,412386000
2024-06-10,120.370003,123.099998,117.010002,121.790001,121.779999,314162700
2024-06-11,121.769997,122.870003,118.739998,120.910004,120.910004,222551200
2024-06-12,123.059998,126.879997,122.570000,125.199997,125.199997,299595000
2024-06-13,129.389999,129.800003,127.160004,129.610001,129.610001,260704500
2024-06-14,129.960007,132.839996,128.320007,131.880005,131.880005,309320400
2024-06-17,132.990005,133.729996,129.580002,130.979996,130.979996,288504400
2024-06-18,131.139999,136.330002,130.690002,135.580002,135.580002,294335100
2024-06-20,139.800003,140.759995,129.520004,130.779999,130.779999,517768400
2024-06-21,127.120003,130.630005,124.300003,126.570000,126.570000,655484700
2024-06-24,123.239998,124.459999,118.040001,118.110001,118.110001,476060900
2024-06-25,121.199997,126.500000,119.320000,126.089996,126.089996,425787500
2024-06-26,126.129997,128.119995,122.599998,126.400002,126.400002,362975900
2024-06-27,124.099998,126.410004,122.919998,123.989998,123.989998,252571700
2024-06-28,124.580002,127.709999,122.750000,123.540001,123.540001,315516700
2024-07-01,123.470001,124.839996,118.830002,124.300003,124.300003,284885500
2024-07-02,121.129997,123.410004,121.029999,122.669998,122.669998,218374000
2024-07-03,121.660004,128.279999,121.360001,128.279999,128.279999,215749000
2024-07-05,127.379997,128.850006,125.680000,125.830002,125.830002,214176700
2024-07-08,127.489998,130.770004,127.040001,128.199997,128.199997,237677300
2024-07-09,130.350006,133.820007,128.649994,131.380005,131.380005,285366600
2024-07-10,134.029999,135.100006,132.419998,134.910004,134.910004,248978600
2024-07-11,135.750000,136.149994,127.050003,127.400002,127.400002,374782700
2024-07-12,128.259995,131.919998,127.220001,129.240005,129.240005,252680500
2024-07-15,130.559998,131.389999,127.180000,128.440002,128.440002,208326200
2024-07-16,128.440002,129.039993,124.580002,126.360001,126.360001,214769500
2024-07-17,121.349998,121.849998,116.720001,117.989998,117.989998,390086200
2024-07-18,121.849998,122.400002,116.559998,121.089996,121.089996,320979500
2024-07-19,120.349998,121.599998,117.370003,117.930000,117.930000,217223800
2024-07-22,120.349998,124.070000,119.860001,123.540001,123.540001,258068900
2024-07-23,122.779999,124.690002,122.099998,122.589996,122.589996,173911000
2024-07-24,119.169998,119.949997,113.440002,114.250000,114.250000,327776900
2024-07-25,113.040001,116.629997,106.300003,112.279999,112.279999,460067000
